id,complication_in_preparing,time_consuming,no_restuarants_for_grab_n_go,easy_access,have_to_prepare_both_vegatrain_and_non_vegetarian,hard_time_grocery_shopping,difficult_during_time_of_transition
4864.0,1,1,1,1,1,1,1
4865.0,3,3,5,1,5,1,3
4881.0,1,3,5,3,5,1,1
4883.0,1,1,3,1,1,1,3
4904.0,3,5,5,3,3,3,5
4913.0,5,5,5,5,5,5,5
4939.0,1,5,5,1,1,1,1
4941.0,1,1,5,1,5,1,1
4964.0,1,3,5,1,1,1,1
4979.0,1,1,5,1,1,1,3
4991.0,5,5,3,1,1,1,3
4992.0,1,1,1,1,1,1,1
5002.0,1,1,5,3,1,1,1
5006.0,1,1,5,5,5,1,5
5010.0,1,1,5,5,1,1,5
5017.0,1,1,5,5,1,1,1
5025.0,1,3,1,1,1,1,1
5035.0,1,1,3,1,5,1,3
5037.0,5,5,5,5,5,5,3
5061.0,1,1,5,1,5,1,1
5066.0,5,1,1,3,5,1,1
5067.0,1,3,1,5,5,5,5
5070.0,1,1,5,1,1,5,1
5075.0,1,1,3,3,1,1,3
5084.0,5,5,5,5,1,1,5
5099.0,1,1,1,5,1,1,1
5101.0,1,1,5,5,1,1,1
5115.0,1,1,5,1,1,5,5
5123.0,1,1,1,1,1,1,1
5134.0,1,1,3,1,1,1,1
5136.0,1,3,5,1,1,1,5
5138.0,3,3,3,3,3,3,3
5140.0,3,3,3,3,3,3,3
5166.0,3,5,3,3,3,3,3
5167.0,1,1,1,1,1,1,1
5168.0,1,1,1,1,1,1,1
5182.0,1,5,3,3,5,1,3
5191.0,1,1,3,1,5,1,5
5193.0,1,1,1,5,1,1,1
5198.0,5,5,5,5,1,3,5
5204.0,1,1,5,1,1,1,1
5209.0,1,1,3,1,5,1,1
5211.0,1,1,1,5,5,5,5
5238.0,3,3,3,1,5,3,3
5240.0,1,1,3,1,5,1,1
5250.0,1,1,5,1,1,1,1
5258.0,3,1,3,1,1,3,5
5260.0,1,1,1,5,5,5,1
5272.0,5,5,5,1,1,1,5
5273.0,1,1,5,1,1,5,3
5281.0,3,3,1,5,1,5,3
5291.0,1,1,5,5,1,3,5
5297.0,3,5,1,1,5,1,3
5311.0,3,1,5,5,1,1,5
5312.0,1,1,5,1,5,1,5
5321.0,3,3,5,1,1,1,1
5324.0,5,5,1,1,1,1,5
5335.0,3,3,5,3,1,1,3
5352.0,3,3,3,1,3,3,3
